fault_query,matched_term,entity_id,entity_type,description,related_entity,edge_description,edge_keywords,conditions,source_id,file_path
Resource Allocation Failure,resource allocation,BEARER_RELEASED,Concept,"BEARER_RELEASED is a value of the Abort-Cause AVP with code 0, used to indicate that a bearer has been deactivated due to normal signaling handling. For GPRS, this refers to the deactivation of the PDP Context. It is also used when all resource allocation for an AF session fails.",DEF,This value is used when the bearer has,Definition,,chunk-9c40279a3cd14bbd3ec3d4492050add8,../3GPP-trunked/Rel-19/29_series/29214-j00.md5.3.1
Resource Allocation Failure,resource allocation,CP function,Technology,"The CP function requests new Quota for RG1 and RG2 from the OCS, indicating a direct interaction for resource allocation<SEP>The CP function is a functional entity responsible for sending response messages and requesting new quotas from the OCS for RG1 and RG2.<SEP>The CP function, also known as PGW-C, manages control plane operations including session modifications, quota enforcement, and communication with the OCS for credit management.",OCS,"The CP function requests new Quota for RG1 and RG2 from the OCS, indicating a direct interaction for resource allocation",request,"[""RG1"", ""RG2""]",chunk-1966e08339201af47c828689c2a7cbe9,../3GPP-trunked/Rel-19/29_series/29244-j10.md1
Resource Allocation Failure,resource allocation,CP function,Technology,"The CP function requests new Quota for RG1 and RG2 from the OCS, indicating a direct interaction for resource allocation<SEP>The CP function is a functional entity responsible for sending response messages and requesting new quotas from the OCS for RG1 and RG2.<SEP>The CP function, also known as PGW-C, manages control plane operations including session modifications, quota enforcement, and communication with the OCS for credit management.",Quota,"The CP function requests a new Quota for RG1 and RG2, which are resource groups requiring allocation",request,"[""RG1"", ""RG2""]",chunk-1966e08339201af47c828689c2a7cbe9,../3GPP-trunked/Rel-19/29_series/29244-j10.md1
Resource Allocation Failure,resource allocation,CP function,Technology,"The CP function requests new Quota for RG1 and RG2 from the OCS, indicating a direct interaction for resource allocation<SEP>The CP function is a functional entity responsible for sending response messages and requesting new quotas from the OCS for RG1 and RG2.<SEP>The CP function, also known as PGW-C, manages control plane operations including session modifications, quota enforcement, and communication with the OCS for credit management.",R2,"R2 is generated due to its linkage to URR3, and the CP function sends a response message, indicating a downstream effect of the CP function's action",triggered by,"[""URR3""]",chunk-1966e08339201af47c828689c2a7cbe9,../3GPP-trunked/Rel-19/29_series/29244-j10.md1
Resource Allocation Failure,resource allocation,CP function,Technology,"The CP function requests new Quota for RG1 and RG2 from the OCS, indicating a direct interaction for resource allocation<SEP>The CP function is a functional entity responsible for sending response messages and requesting new quotas from the OCS for RG1 and RG2.<SEP>The CP function, also known as PGW-C, manages control plane operations including session modifications, quota enforcement, and communication with the OCS for credit management.",URR3,"R2 is generated due to its linkage to URR3, and the CP function sends a response message, indicating a downstream effect of the CP function's action",Condition,,chunk-1966e08339201af47c828689c2a7cbe9,../3GPP-trunked/Rel-19/29_series/29244-j10.md1
Resource Allocation Failure,resource allocation,CP function,Technology,"The CP function requests new Quota for RG1 and RG2 from the OCS, indicating a direct interaction for resource allocation<SEP>The CP function is a functional entity responsible for sending response messages and requesting new quotas from the OCS for RG1 and RG2.<SEP>The CP function, also known as PGW-C, manages control plane operations including session modifications, quota enforcement, and communication with the OCS for credit management.",RG1,"The CP function requests new Quota for RG1 and RG2 from the OCS, indicating a direct interaction for resource allocation",Condition,,chunk-1966e08339201af47c828689c2a7cbe9,../3GPP-trunked/Rel-19/29_series/29244-j10.md1
Resource Allocation Failure,resource allocation,CP function,Technology,"The CP function requests new Quota for RG1 and RG2 from the OCS, indicating a direct interaction for resource allocation<SEP>The CP function is a functional entity responsible for sending response messages and requesting new quotas from the OCS for RG1 and RG2.<SEP>The CP function, also known as PGW-C, manages control plane operations including session modifications, quota enforcement, and communication with the OCS for credit management.",RG2,"The CP function requests new Quota for RG1 and RG2 from the OCS, indicating a direct interaction for resource allocation",Condition,,chunk-1966e08339201af47c828689c2a7cbe9,../3GPP-trunked/Rel-19/29_series/29244-j10.md1
Resource Allocation Failure,resource allocation,RG1,Concept,"The CP function requests new Quota for RG1 and RG2 from the OCS, indicating a direct interaction for resource allocation<SEP>RG1 is a resource group for which the CP function requests a new quota from the OCS.",OCS,"The CP function requests new Quota for RG1 and RG2 from the OCS, indicating a direct interaction for resource allocation",Condition,,chunk-1966e08339201af47c828689c2a7cbe9,../3GPP-trunked/Rel-19/29_series/29244-j10.md1
Resource Allocation Failure,resource allocation,RG1,Concept,"The CP function requests new Quota for RG1 and RG2 from the OCS, indicating a direct interaction for resource allocation<SEP>RG1 is a resource group for which the CP function requests a new quota from the OCS.",Quota,"The CP function requests a new Quota for RG1 and RG2, which are resource groups requiring allocation",Condition,,chunk-1966e08339201af47c828689c2a7cbe9,../3GPP-trunked/Rel-19/29_series/29244-j10.md1
Resource Allocation Failure,resource allocation,RG1,Concept,"The CP function requests new Quota for RG1 and RG2 from the OCS, indicating a direct interaction for resource allocation<SEP>RG1 is a resource group for which the CP function requests a new quota from the OCS.",CP function,"The CP function requests new Quota for RG1 and RG2 from the OCS, indicating a direct interaction for resource allocation",Condition,,chunk-1966e08339201af47c828689c2a7cbe9,../3GPP-trunked/Rel-19/29_series/29244-j10.md1
Resource Allocation Failure,resource allocation,RG2,Concept,"The CP function requests new Quota for RG1 and RG2 from the OCS, indicating a direct interaction for resource allocation<SEP>RG2 is a resource group for which the CP function requests a new quota from the OCS.",OCS,"The CP function requests new Quota for RG1 and RG2 from the OCS, indicating a direct interaction for resource allocation",Condition,,chunk-1966e08339201af47c828689c2a7cbe9,../3GPP-trunked/Rel-19/29_series/29244-j10.md1
Resource Allocation Failure,resource allocation,RG2,Concept,"The CP function requests new Quota for RG1 and RG2 from the OCS, indicating a direct interaction for resource allocation<SEP>RG2 is a resource group for which the CP function requests a new quota from the OCS.",Quota,"The CP function requests a new Quota for RG1 and RG2, which are resource groups requiring allocation",Condition,,chunk-1966e08339201af47c828689c2a7cbe9,../3GPP-trunked/Rel-19/29_series/29244-j10.md1
Resource Allocation Failure,resource allocation,RG2,Concept,"The CP function requests new Quota for RG1 and RG2 from the OCS, indicating a direct interaction for resource allocation<SEP>RG2 is a resource group for which the CP function requests a new quota from the OCS.",CP function,"The CP function requests new Quota for RG1 and RG2 from the OCS, indicating a direct interaction for resource allocation",Condition,,chunk-1966e08339201af47c828689c2a7cbe9,../3GPP-trunked/Rel-19/29_series/29244-j10.md1
Resource Allocation Failure,,Provisioning of Dynamic ChangingTraffic Characteristics,Concept,Provisioning of Dynamic ChangingTraffic Characteristics is a feature or process defined in section 4.4.9.2.12 that involves configuring network resources to adapt to traffic characteristics that change dynamically. It is associated with managing traffic behavior in real-time to ensure efficient resource allocation and service quality.)##,,,,,chunk-df5fa47f715c4fe47db73bba2c933be6,../3GPP-trunked/Rel-19/29_series/29522-j20_0_cover.md4.4.9.2.12
Resource Allocation Failure,,PCC/QoS rules,Concept,PCC/QoS rules are policy and charging rules related to Quality of Service that can be installed or modified by the PCRF based on updated service information. Their installation or modification may fail due to resource allocation failure.,,,,,chunk-cc5d6ff5581d0a17079a4457cbc3e8d1,../3GPP-trunked/Rel-19/29_series/29214-j00.md4.4.2
Resource Allocation Failure,,Service Data Flow Deactivation and Resource Allocation Failure,Concept,"Service Data Flow Deactivation and Resource Allocation Failure is a scenario defined in section 4.4.6.2 where one or more PCC/QoS Rules (i.e. Service Data Flows) are deactivated at the PCEF/BBERF either permanently or temporarily, or resource allocation for one or more PCC rules fails during installation. This triggers the PCRF to notify the AF if the AF has previously subscribed via the Specific-Action AVP in the command. The notification depends on whether all or only some service data flows in the AF session are affected.",,,,,chunk-5793d168aeca23553684b76f1b1808e7,../3GPP-trunked/Rel-19/29_series/29214-j00.md4.4.6.2
Resource Allocation Failure,,PCC/QoS Rules,Concept,"PCC/QoS Rules are policy and charging control rules that define the characteristics of Service Data Flows (SDFs) and are managed at the PCEF/BBERF. They may be deactivated or fail resource allocation, leading to the Service Data Flow Deactivation and Resource Allocation Failure scenario.",,,,,chunk-5793d168aeca23553684b76f1b1808e7,../3GPP-trunked/Rel-19/29_series/29214-j00.md4.4.6.2
Resource Allocation Failure,,PCEF/BBERF,Technology,"PCEF/BBERF is a network function responsible for policy and charging enforcement and bearer management, where PCC/QoS Rules are applied and Service Data Flows may be deactivated or experience resource allocation failure.",,,,,chunk-5793d168aeca23553684b76f1b1808e7,../3GPP-trunked/Rel-19/29_series/29214-j00.md4.4.6.2
Resource Allocation Failure,,Resource Subscr,Concept,"Resource Subscr is a concept defined in section 6.2.3.4, related to the subscription of resources. It is associated with the handling and management of resource allocation, though specific attributes or procedures are not detailed in the provided text.)##",,,,,chunk-40db66cc0b0feaeebffc2541191a6955,../3GPP-trunked/Rel-19/29_series/29504-j20.md6.2.3.4
Resource Allocation Failure,,resource allocation,Concept,"Resource allocation is a procedure illustrated in Figure 7.2.5.2-1, involving the MC service client and MC service server to request and establish resources for transmission control and media plane in a group communication session. It includes steps such as session establishment, bandwidth adjustment, SIP core interaction with 5GS, PCF policy enforcement, and media plane setup and release.",,,,,chunk-115c095f6462c6c924d9f6820fbd369c,../3GPP-trunked/Rel-19/23_series/23289-j50.md7.2.5.2
Resource Allocation Failure,,Resource request at session establishment,Concept,"Resource request at session establishment is a procedure described in Figure 7.2.3.2-1, where the MC service client initiates a session establishment request including SDP offer and access resource details such as IP addresses and ports. The MC service server evaluates communication and media resource sharing needs, sends a session progress request to the SIP core, and later triggers media resource allocation via 5GS using either N5 or Rx reference points for direct interaction, or N33 reference point for indirect interaction through NEF.",,,,,chunk-4489cdfeab719ab3b6bc854614ab0568,../3GPP-trunked/Rel-19/23_series/23289-j50.md7.2.3.2
Resource Allocation Failure,resource allocation,Channel a,Concept,"Channel a is a defined channel in section 5.4, referenced as part of a band. It is associated with a specific frequency band and is used in the context of signal transmission or resource allocation.",REF,5.4)##,Reference,,chunk-98cf974a066484ec98a31ace8c5510bc,../3GPP-trunked/Rel-19/38_series/38101-5-j00.md5.4.1
Resource Allocation Failure,,carrier resource blocks,Technology,"carrier resource blocks are the smallest unit of resource allocation in the NR RF carrier. The number of carrier resource blocks determines the maximum size of UE bandwidth parts that can be supported by the Base Station, and UE bandwidth parts must be smaller than or equal to this number.",,,,,chunk-b8beb77d2bff84d301ce3a2e25a258ca,../3GPP-trunked/Rel-19/38_series/38104-j00.md5.3.1
Resource Allocation Failure,,RE,Terminology,"RE refers to a resource element, the smallest unit of resource allocation in a time-frequency grid in a wireless communication system.",,,,,chunk-fd9a989e24b03c31ae1eb8f30445c635,../3GPP-trunked/Rel-19/38_series/38108-j00.md6.3.2.2
Resource Allocation Failure,resource allocation,RRC connected state,Concept,"RRC connected state is a network state in which a user equipment maintains an active connection with the radio access network, allowing for continuous data transmission and reception. It is governed by the RRC connected state requirements defined in section 3.6.1.<SEP>RRC connected state is a network state in which the User Equipment (UE) has established a connection with the network and is actively engaged in communication, requiring continuous signaling and resource allocation.",RRC,RRC supports the RRC connected state by managing the radio resource control procedures necessary for maintaining the connection,support,"[""RRC connected state requirements)##""]",chunk-da6d9c5eb7f7c1ec5274defc53d40d00,../3GPP-trunked/Rel-19/38_series/38133-j00_cover.md3.6.1
Resource Allocation Failure,resource allocation,RRC connected state,Concept,"RRC connected state is a network state in which a user equipment maintains an active connection with the radio access network, allowing for continuous data transmission and reception. It is governed by the RRC connected state requirements defined in section 3.6.1.<SEP>RRC connected state is a network state in which the User Equipment (UE) has established a connection with the network and is actively engaged in communication, requiring continuous signaling and resource allocation.",UEs,UEs must meet specific requirements in the RRC connected state as defined in section 3.6.11.1,require,,chunk-b843f3d39d0a76e490e73a52dcb42350,../3GPP-trunked/Rel-19/38_series/38133-j00_cover.md3.6.11.1
Resource Allocation Failure,resource allocation,RRC connected state,Concept,"RRC connected state is a network state in which a user equipment maintains an active connection with the radio access network, allowing for continuous data transmission and reception. It is governed by the RRC connected state requirements defined in section 3.6.1.<SEP>RRC connected state is a network state in which the User Equipment (UE) has established a connection with the network and is actively engaged in communication, requiring continuous signaling and resource allocation.",RRC connected state requirements,RRC connected state requirements define the operational conditions and behaviors for a device in the RRC connected state,define,,chunk-da6d9c5eb7f7c1ec5274defc53d40d00,../3GPP-trunked/Rel-19/38_series/38133-j00_cover.md3.6.1
Resource Allocation Failure,resource allocation,RRC connected state,Concept,"RRC connected state is a network state in which a user equipment maintains an active connection with the radio access network, allowing for continuous data transmission and reception. It is governed by the RRC connected state requirements defined in section 3.6.1.<SEP>RRC connected state is a network state in which the User Equipment (UE) has established a connection with the network and is actively engaged in communication, requiring continuous signaling and resource allocation.",3.6.11.1,Section 3.6.11.1 defines the requirements for the RRC connected state for UEs,define,"[""UEs)##""]",chunk-b843f3d39d0a76e490e73a52dcb42350,../3GPP-trunked/Rel-19/38_series/38133-j00_cover.md3.6.11.1
Resource Allocation Failure,,N Traffic Steering,Concept,"N Traffic Steering is a concept related to traffic management and resource allocation in network systems, particularly involving priority-based handling of media flows across AF sessions.",,,,,chunk-4c5a90193e340d5ccb6f2ddb43e173da,../3GPP-trunked/Rel-19/23_series/23503-j30.md6.1.3.15
Resource Allocation Failure,,Successful resource allocation,Concept,Successful resource allocation is a reporting event where the SMF informs the PCF that the required resources for a PCC rule have been successfully allocated.,,,,,chunk-512b5a126e2fc86abdc095dfc570f840,../3GPP-trunked/Rel-19/23_series/23503-j30.md6.1.3.5
Resource Allocation Failure,,Msg3,Concept,Msg3 is a message in the random access procedure that requires sufficient resource allocation to accommodate all DRB data that the UE will loop back at step 7.,,,,,chunk-b7ff1081a93b5687c7ad7e78fec8bff1,../3GPP-trunked/Rel-19/38_series/38523-1-j00_s0815-s08161.md8.1.5.2.2.3.2
Resource Allocation Failure,,dynamicSFI,Technology,"dynamicSFI is a physical layer parameter that enables dynamic scheduling of SFI (Scheduling Feedback Indicator) in NR, allowing flexible control of uplink and downlink resource allocation.",,,,,chunk-954579e86c44046f7f84ba677cec382c,../3GPP-trunked/Rel-19/38_series/38523-1-j00_s0815-s08161.md8.1.5.1.1.3.3
Resource Allocation Failure,,tdcp-ResourcePerBC-r18,Concept,"tdcp-ResourcePerBC-r18 is a feature or parameter defined in the context of 3GPP Release 18 related to resource allocation per beam configuration, with no specific description provided in the text.",,,,,chunk-d3287d2f6e452c34beb04e2208c89c94,../3GPP-trunked/Rel-19/38_series/38523-1-j00_s0815-s08161.md8.1.5.1.1.3.3
Resource Allocation Failure,,FDRA field,Signal,FDRA field refers to the Frequency Domain Resource Assignment field used in DCI to indicate resource allocation in the frequency domain for uplink transmissions.<SEP>FDRA field is a frequency domain resource allocation field used in the scheduling of physical uplink shared channels (PUSCH) across multiple cells.,,,,,chunk-561bc9e443bfb03b5aa49ac4f2e0e707<SEP>chunk-97a79b32894c596f1c46af69c92a2df3,../3GPP-trunked/Rel-19/38_series/38523-1-j00_s07011326-s070114.md7.1.1.3.26.1<SEP>../3GPP-trunked/Rel-19/38_series/38523-1-j00_s07011326-s070114.md7.1.1.3.26
Resource Allocation Failure,,block number 1,Concept,Block number 1 corresponds to the frequency domain resource assignment for the cell with the smallest serving cell index. It is defined by a set of fields that vary based on higher layer parameters and resource allocation types.,,,,,chunk-92673a12207f027aa5ef905ce5f93d83,../3GPP-trunked/Rel-19/38_series/38523-1-j00_s07011326-s070114.md7.1.1.3.26.1.2
Resource Allocation Failure,,frequency domain resource assignment,Concept,"Frequency domain resource assignment is a field in the block that specifies the allocation of frequency resources for a cell, with its bit width and interpretation depending on configuration parameters such as resource allocation type and subcarrier spacing.",,,,,chunk-92673a12207f027aa5ef905ce5f93d83,../3GPP-trunked/Rel-19/38_series/38523-1-j00_s07011326-s070114.md7.1.1.3.26.1.2
Resource Allocation Failure,,resource allocation type 0,Concept,"Resource allocation type 0 is a method of frequency domain resource assignment where the least significant bits (LSBs) provide resource allocation as defined in Clause 6.1.2.2.1 of [6, TS 38.214]. It is used when the higher layer parameter useInterlacePUCCH-PUSCH is not configured or when the MSB bit indicates type 0 in dynamic switch mode.",,,,,chunk-92673a12207f027aa5ef905ce5f93d83,../3GPP-trunked/Rel-19/38_series/38523-1-j00_s07011326-s070114.md7.1.1.3.26.1.2
Resource Allocation Failure,,resource allocation type 1,Concept,Resource allocation type 1 is a method of frequency domain resource assignment that uses MSB bits to indicate frequency offset,,,,,chunk-92673a12207f027aa5ef905ce5f93d83,../3GPP-trunked/Rel-19/38_series/38523-1-j00_s07011326-s070114.md7.1.1.3.26.1.2
Resource Allocation Failure,,resource allocation type 2,Concept,"Resource allocation type 2 is a method of frequency domain resource assignment used when the higher layer parameter resourceAllocationDCI-0-3 is configured as 'dynamicSwitch' and the μ value is either 0 or 1. For μ=0, a bit value of 1 indicates the cell is scheduled; for μ=1, a bit value of 0 indicates the cell is not scheduled.",,,,,chunk-92673a12207f027aa5ef905ce5f93d83,../3GPP-trunked/Rel-19/38_series/38523-1-j00_s07011326-s070114.md7.1.1.3.26.1.2
Resource Allocation Failure,resource allocation,7.1.1.3.26,UNKNOWN,Multi-cell PUSCH scheduling is performed using a single DCI or FDRA field for resource allocation across multiple cells.,Multi-cell PUSCH scheduling,Multi-cell PUSCH scheduling is performed using a single DCI or FDRA field for resource allocation across multiple cells.,Condition,,chunk-97a79b32894c596f1c46af69c92a2df3,../3GPP-trunked/Rel-19/38_series/38523-1-j00_s07011326-s070114.md7.1.1.3.26
Resource Allocation Failure,,DCI 1_0,Signal,DCI 1_0 is a downlink control information format transmitted on PDCCH to indicate system information modification and resource allocation for Msg3 in the random access procedure.,,,,,chunk-56aacc3d86e236d0ac5492c0eab6859d,../3GPP-trunked/Rel-19/38_series/38523-1-j00_s0815-s08161.md8.1.5.2.2.3.2
Resource Allocation Failure,,ameSCS-r18,Concept,"ameSCS-r18 is a configuration parameter set in the context of NR (New Radio) communication, specifically related to multi-cell PUSCH DCI (Physical Uplink Shared Channel Downlink Control Information) with same SCS (Subcarrier Spacing) in release 18. It includes various sub-parameters for managing coordinated scheduling and resource allocation across cells.",,,,,chunk-6fda736b5737d373c3650f6d669123ed,../3GPP-trunked/Rel-19/38_series/38523-1-j00_s0815-s08161.md8.1.5.1.1.3.3
Resource Allocation Failure,resource allocation,connection,Concept,"Connection refers to a state or condition in which a user equipment (UE) is actively engaged in communication with the network, requiring resource allocation and signaling coordination.",RRC / Paging,RRC / Paging is a procedure used in a connection and shared network environment to notify a user equipment (UE) of incoming calls or messages. It is part of the Radio Resource Control (RRC) layer functionality and operates in a shared network context.,Condition,,chunk-17bad1a0ddaba8faae50a73c85af4688,../3GPP-trunked/Rel-19/38_series/38523-1-j00_s08-s0814.md8.1.1.1.2
Resource Allocation Failure,resource allocation,sidelink resource allocation mode 2 based on sensing,Technology,"Sideline resource allocation mode 2 based on sensing is a method defined in TS 38.321 and TS 38.213 where lower layers configure resource allocation for NR sidelink communication using sensed available resources, based on pools indicated by sl-TxPoolSelectedNormal in SidelinkPreconfigNR for the concerned frequency.",REF,TS 3,Reference,,chunk-b4aca0be3f1decaa5557eefcea27c82d,../3GPP-trunked/Rel-19/38_series/38523-1-j00_s12-s14.md12.1.1.1.2
