fault_query,matched_terms,entity_id,entity_type,description,related_entity,related_description,edge_description,edge_keywords,conditions,source_id,file_path
Antenna Failure,antenna,Total radiated power,Concept,"Total radiated power is the total power radiated by the antenna, defined in both the near-field region and the far-field region, and includes power radiating in all directions for two orthogonal polarizations.",,,,,,chunk-b8966f841bc5837b85972e0186e32b85,../3GPP-trunked/Rel-19/38_series/38106-j00.mdNone
Antenna Failure,antenna,RF Repeater type 1-C,Concept,RF Repeater type 1-C is a repeater configuration where RF requirements are applied at the repeater antenna connector (BS-side or UE-side) for downlink or uplink under normal operating conditions.,REF,Clause 5.2.3.2.2 of 3GPP TS 29.5,"4.2.1)##
(reference<",Reference,,chunk-48934997f05549837556d4f7ec35e078,../3GPP-trunked/Rel-19/38_series/38106-j00.md4.2.1
Antenna Failure,antenna,NCR type 1-C,Concept,"NCR type 1-C is a network-controlled repeater configuration where NCR-Fwd RF requirements are applied at the NCR antenna connector (BS-side or UE-side) for downlink or uplink, and NCR-MT RF requirements are applied at the NCR antenna connector (BS-side) under normal operating conditions.",DEF,"The Support Team is responsible for the management of the work of the TSGs, including editorship and management of specifications under TSG change control, preparation and support for meetings (including meeting reports) of TSGs, their Working Groups, and subgroups, in descending priority, and liaison with other bodies and relevant groups and institutions.",NCR type 1-C,Definition,,chunk-71896e9730b13273dbd75e5ac0504db0,../3GPP-trunked/Rel-19/38_series/38115-1-j00.mdNone
Antenna Failure,antenna,NCR type 1-C,Concept,"NCR type 1-C is a network-controlled repeater configuration where NCR-Fwd RF requirements are applied at the NCR antenna connector (BS-side or UE-side) for downlink or uplink, and NCR-MT RF requirements are applied at the NCR antenna connector (BS-side) under normal operating conditions.",DEF,"The Support Team is responsible for the management of the work of the TSGs, including editorship and management of specifications under TSG change control, preparation and support for meetings (including meeting reports) of TSGs, their Working Groups, and subgroups, in descending priority, and liaison with other bodies and relevant groups and institutions.","For NCR type 1-C, the",Definition,,chunk-d907836d6103ee67011268469aa88e4b,../3GPP-trunked/Rel-19/38_series/38115-1-j00.md4.2.2
Antenna Failure,antenna,NCR type 1-C,Concept,"NCR type 1-C is a network-controlled repeater configuration where NCR-Fwd RF requirements are applied at the NCR antenna connector (BS-side or UE-side) for downlink or uplink, and NCR-MT RF requirements are applied at the NCR antenna connector (BS-side) under normal operating conditions.",REF,Clause 5.2.3.2.2 of 3GPP TS 29.5,TS 38.106 [2],Reference,,chunk-71896e9730b13273dbd75e5ac0504db0,../3GPP-trunked/Rel-19/38_series/38115-1-j00.mdNone
Antenna Failure,antenna,NCR type 1-C,Concept,"NCR type 1-C is a network-controlled repeater configuration where NCR-Fwd RF requirements are applied at the NCR antenna connector (BS-side or UE-side) for downlink or uplink, and NCR-MT RF requirements are applied at the NCR antenna connector (BS-side) under normal operating conditions.",normal operating conditions,,Requirements for NCR type 1-C are applied at the repeater antenna connector for downlink or uplink under normal operating conditions,Condition,,chunk-d18326f6448eede6a7e5b62bece2a11f,../3GPP-trunked/Rel-19/38_series/38115-1-j00.md4.5.1
Antenna Failure,antenna,NCR type 1-C,Concept,"NCR type 1-C is a network-controlled repeater configuration where NCR-Fwd RF requirements are applied at the NCR antenna connector (BS-side or UE-side) for downlink or uplink, and NCR-MT RF requirements are applied at the NCR antenna connector (BS-side) under normal operating conditions.",repeater antenna connector,,Requirements for NCR type 1-C are applied at the repeater antenna connector for downlink or uplink under normal operating conditions,apply,"[""normal operating conditions""]",chunk-d18326f6448eede6a7e5b62bece2a11f,../3GPP-trunked/Rel-19/38_series/38115-1-j00.md4.5.1
Antenna Failure,antenna,NCR antenna connector,Terminology,,,,,,,chunk-48934997f05549837556d4f7ec35e078,../3GPP-trunked/Rel-19/38_series/38106-j00.md4.2.1
Antenna Failure,antenna,beam peak directions,Concept,"Beam peak directions are specific directions in which the antenna beam reaches its maximum radiation intensity, and they are related to a contiguous range or discrete list of beam centre directions via beam direction pairs included in the set.",,,,,,chunk-b8e89e177cd199d3bbe395a71cb4c1e0,../3GPP-trunked/Rel-19/38_series/38108-j00.md3.1
Antenna Failure,antenna,SAN type 1-H,Technology,"SAN type 1-H is a system configuration defined with two points of reference: radiated and conducted requirements. It involves the Radiated Interface Boundary (RIB) for over-the-air (OTA) characteristics and the transceiver array boundary for conducted characteristics. The system includes a satellite payload composed of a transceiver unit array and a composite antenna array, with specific implementation-dependent configurations.<SEP>SAN type 1-H is a specific type of Satellite Access Node, categorized under the broader SAN types and subject to the same deployment scenarios as other SAN types.<SEP>SAN type 1-H is a configuration for which conducted transmitter characteristics are specified at the TAB connector with a full complement of transceiver units under normal operating conditions.<SEP>SAN type 1-H is a type of equipment or system with a minimum requirement defined in section 6.2.2, where the maximum carrier output power Pmax,c,TABC must remain within ±2 dB of the rated carrier output power Prated,c,TABC for each TAB connector as declared by the manufacturer under normal conditions.<SEP>SAN type 1-H is a type of satellite access network (SAN) for which output power requirements are defined at the TAB connector. Its rated carrier output power must comply with the values specified in Table 6.2.1-2 and is categorized by SAN class.<SEP>SAN type 1-H is a type of satellite access node defined in section 6.3.2.2 with a minimum requirement for RE power control dynamic range as specified in Table 6.3.2.2-1.<SEP>SAN type 1-H is a specific type of SAN that supports transmission in the operating band and is subject to the SAN total power dynamic range requirement at each TAB connector.",REF,Clause 5.2.3.2.2 of 3GPP TS 29.5,Table 6.2.1-2,Reference,,chunk-48a8e1dda8b180b711fb9ed2f83671ec,../3GPP-trunked/Rel-19/38_series/38108-j00.md6.2.1
Antenna Failure,antenna,SAN type 1-H,Technology,"SAN type 1-H is a system configuration defined with two points of reference: radiated and conducted requirements. It involves the Radiated Interface Boundary (RIB) for over-the-air (OTA) characteristics and the transceiver array boundary for conducted characteristics. The system includes a satellite payload composed of a transceiver unit array and a composite antenna array, with specific implementation-dependent configurations.<SEP>SAN type 1-H is a specific type of Satellite Access Node, categorized under the broader SAN types and subject to the same deployment scenarios as other SAN types.<SEP>SAN type 1-H is a configuration for which conducted transmitter characteristics are specified at the TAB connector with a full complement of transceiver units under normal operating conditions.<SEP>SAN type 1-H is a type of equipment or system with a minimum requirement defined in section 6.2.2, where the maximum carrier output power Pmax,c,TABC must remain within ±2 dB of the rated carrier output power Prated,c,TABC for each TAB connector as declared by the manufacturer under normal conditions.<SEP>SAN type 1-H is a type of satellite access network (SAN) for which output power requirements are defined at the TAB connector. Its rated carrier output power must comply with the values specified in Table 6.2.1-2 and is categorized by SAN class.<SEP>SAN type 1-H is a type of satellite access node defined in section 6.3.2.2 with a minimum requirement for RE power control dynamic range as specified in Table 6.3.2.2-1.<SEP>SAN type 1-H is a specific type of SAN that supports transmission in the operating band and is subject to the SAN total power dynamic range requirement at each TAB connector.",TAB connector,,SAN type 1-H is connected to the TAB connector where conducted transmitter characteristics are specified,connect to,"[""normal operating condition)##""]",chunk-8bbb8adf31ebb53a4ad9291bbbafa004,../3GPP-trunked/Rel-19/38_series/38108-j00.md6.1
Antenna Failure,antenna,SAN type 1-H,Technology,"SAN type 1-H is a system configuration defined with two points of reference: radiated and conducted requirements. It involves the Radiated Interface Boundary (RIB) for over-the-air (OTA) characteristics and the transceiver array boundary for conducted characteristics. The system includes a satellite payload composed of a transceiver unit array and a composite antenna array, with specific implementation-dependent configurations.<SEP>SAN type 1-H is a specific type of Satellite Access Node, categorized under the broader SAN types and subject to the same deployment scenarios as other SAN types.<SEP>SAN type 1-H is a configuration for which conducted transmitter characteristics are specified at the TAB connector with a full complement of transceiver units under normal operating conditions.<SEP>SAN type 1-H is a type of equipment or system with a minimum requirement defined in section 6.2.2, where the maximum carrier output power Pmax,c,TABC must remain within ±2 dB of the rated carrier output power Prated,c,TABC for each TAB connector as declared by the manufacturer under normal conditions.<SEP>SAN type 1-H is a type of satellite access network (SAN) for which output power requirements are defined at the TAB connector. Its rated carrier output power must comply with the values specified in Table 6.2.1-2 and is categorized by SAN class.<SEP>SAN type 1-H is a type of satellite access node defined in section 6.3.2.2 with a minimum requirement for RE power control dynamic range as specified in Table 6.3.2.2-1.<SEP>SAN type 1-H is a specific type of SAN that supports transmission in the operating band and is subject to the SAN total power dynamic range requirement at each TAB connector.",transceiver units,Transceiver units are formed by combining transmitter units and receiver units. They have the ability to transmit and receive parallel independent modulated symbol streams and are part of the transceiver unit array.,SAN type 1-H includes a full complement of transceiver units as part of its configuration,include,"[""normal operating condition""]",chunk-8bbb8adf31ebb53a4ad9291bbbafa004,../3GPP-trunked/Rel-19/38_series/38108-j00.md6.1
Antenna Failure,antenna,SAN type 1-H,Technology,"SAN type 1-H is a system configuration defined with two points of reference: radiated and conducted requirements. It involves the Radiated Interface Boundary (RIB) for over-the-air (OTA) characteristics and the transceiver array boundary for conducted characteristics. The system includes a satellite payload composed of a transceiver unit array and a composite antenna array, with specific implementation-dependent configurations.<SEP>SAN type 1-H is a specific type of Satellite Access Node, categorized under the broader SAN types and subject to the same deployment scenarios as other SAN types.<SEP>SAN type 1-H is a configuration for which conducted transmitter characteristics are specified at the TAB connector with a full complement of transceiver units under normal operating conditions.<SEP>SAN type 1-H is a type of equipment or system with a minimum requirement defined in section 6.2.2, where the maximum carrier output power Pmax,c,TABC must remain within ±2 dB of the rated carrier output power Prated,c,TABC for each TAB connector as declared by the manufacturer under normal conditions.<SEP>SAN type 1-H is a type of satellite access network (SAN) for which output power requirements are defined at the TAB connector. Its rated carrier output power must comply with the values specified in Table 6.2.1-2 and is categorized by SAN class.<SEP>SAN type 1-H is a type of satellite access node defined in section 6.3.2.2 with a minimum requirement for RE power control dynamic range as specified in Table 6.3.2.2-1.<SEP>SAN type 1-H is a specific type of SAN that supports transmission in the operating band and is subject to the SAN total power dynamic range requirement at each TAB connector.",conducted transmitter characteristics,Conducted transmitter characteristics are specified at the TAB connector for SAN type 1-H and are defined under normal operating conditions with a full complement of transceiver units.,Conducted transmitter characteristics are specified for SAN type 1-H under normal operating conditions with a full complement of transceiver units,apply to,"[""normal operating condition""]",chunk-8bbb8adf31ebb53a4ad9291bbbafa004,../3GPP-trunked/Rel-19/38_series/38108-j00.md6.1
Antenna Failure,antenna,SAN type 1-H,Technology,"SAN type 1-H is a system configuration defined with two points of reference: radiated and conducted requirements. It involves the Radiated Interface Boundary (RIB) for over-the-air (OTA) characteristics and the transceiver array boundary for conducted characteristics. The system includes a satellite payload composed of a transceiver unit array and a composite antenna array, with specific implementation-dependent configurations.<SEP>SAN type 1-H is a specific type of Satellite Access Node, categorized under the broader SAN types and subject to the same deployment scenarios as other SAN types.<SEP>SAN type 1-H is a configuration for which conducted transmitter characteristics are specified at the TAB connector with a full complement of transceiver units under normal operating conditions.<SEP>SAN type 1-H is a type of equipment or system with a minimum requirement defined in section 6.2.2, where the maximum carrier output power Pmax,c,TABC must remain within ±2 dB of the rated carrier output power Prated,c,TABC for each TAB connector as declared by the manufacturer under normal conditions.<SEP>SAN type 1-H is a type of satellite access network (SAN) for which output power requirements are defined at the TAB connector. Its rated carrier output power must comply with the values specified in Table 6.2.1-2 and is categorized by SAN class.<SEP>SAN type 1-H is a type of satellite access node defined in section 6.3.2.2 with a minimum requirement for RE power control dynamic range as specified in Table 6.3.2.2-1.<SEP>SAN type 1-H is a specific type of SAN that supports transmission in the operating band and is subject to the SAN total power dynamic range requirement at each TAB connector.",normal operating condition,Normal operating condition refers to the standard operational state of the system in which conducted transmitter characteristics are specified for SAN type 1-H with a full complement of transceiver units.<SEP>SAN type 1-H is connected to the TAB connector where conducted transmitter characteristics are specified,Conducted transmitter characteristics are specified for SAN type 1-H under normal operating conditions with a full complement of transceiver units,Condition,,chunk-8bbb8adf31ebb53a4ad9291bbbafa004,../3GPP-trunked/Rel-19/38_series/38108-j00.md6.1
Antenna Failure,antenna,SAN type 1-H,Technology,"SAN type 1-H is a system configuration defined with two points of reference: radiated and conducted requirements. It involves the Radiated Interface Boundary (RIB) for over-the-air (OTA) characteristics and the transceiver array boundary for conducted characteristics. The system includes a satellite payload composed of a transceiver unit array and a composite antenna array, with specific implementation-dependent configurations.<SEP>SAN type 1-H is a specific type of Satellite Access Node, categorized under the broader SAN types and subject to the same deployment scenarios as other SAN types.<SEP>SAN type 1-H is a configuration for which conducted transmitter characteristics are specified at the TAB connector with a full complement of transceiver units under normal operating conditions.<SEP>SAN type 1-H is a type of equipment or system with a minimum requirement defined in section 6.2.2, where the maximum carrier output power Pmax,c,TABC must remain within ±2 dB of the rated carrier output power Prated,c,TABC for each TAB connector as declared by the manufacturer under normal conditions.<SEP>SAN type 1-H is a type of satellite access network (SAN) for which output power requirements are defined at the TAB connector. Its rated carrier output power must comply with the values specified in Table 6.2.1-2 and is categorized by SAN class.<SEP>SAN type 1-H is a type of satellite access node defined in section 6.3.2.2 with a minimum requirement for RE power control dynamic range as specified in Table 6.3.2.2-1.<SEP>SAN type 1-H is a specific type of SAN that supports transmission in the operating band and is subject to the SAN total power dynamic range requirement at each TAB connector.",RE power control dynamic range,"RE power control dynamic range is defined as the difference between the power of an RE and the average RE power for a SAN at maximum output power (Pmax,c,TABC) under a specified reference condition. This requirement applies to SAN type 1-H at each TAB connector supporting transmission in the operation.<SEP>RE power control dynamic range is a parameter specifying the allowable range of power control for resource elements (RE) in uplink and downlink directions, as defined in Table 6.3.2.2-1 for SAN type 1-H.",The requirement for RE power control dynamic range applies to SAN type 1-H at each TAB connector supporting transmission in the operation,apply,,chunk-c3dc468b68cace290ab8f8b1d7c51c64,../3GPP-trunked/Rel-19/38_series/38108-j00.md6.3.2.1
Antenna Failure,antenna,Composite Antenna Array,Technology,The composite antenna array is,,,,,,chunk-58af631c94515826e31371838a0a425a,../3GPP-trunked/Rel-19/38_series/38108-j00.md4.3.1
Antenna Failure,antenna,Satellite Payload,Technology,"The satellite payload consists of a transceiver unit array and a composite antenna array, forming the core communication subsystem responsible for signal processing and transmission/reception in satellite communications.",,,,,,chunk-58af631c94515826e31371838a0a425a,../3GPP-trunked/Rel-19/38_series/38108-j00.md4.3.1
Antenna Failure,antenna,multi-Rx operation,Concept,"multi-Rx operation refers to a capability in which a device can receive signals simultaneously on multiple receive chains or antennas, enhancing signal reliability and throughput. It is applicable in Frequency Range (FR) as defined in section 3.6.19.",3.6.19,,The applicability of requirements for multi-Rx operation in FR governs the conditions under which multi-Rx operation is supported or required in the specified frequency range,Condition,,chunk-e830537219277645d8ba172efb7d11ba,../3GPP-trunked/Rel-19/38_series/38133-j00_cover.md3.6.19
Antenna Failure,antenna,multi-Rx operation,Concept,"multi-Rx operation refers to a capability in which a device can receive signals simultaneously on multiple receive chains or antennas, enhancing signal reliability and throughput. It is applicable in Frequency Range (FR) as defined in section 3.6.19.",Applicability of requirements for multi-Rx operation in FR,"Applicability of requirements for multi-Rx operation in FR is a defined concept in section 3.6.19, specifying the conditions under which requirements for multi-Rx operation apply in the Frequency Range (FR).",The applicability of requirements for multi-Rx operation in FR governs the conditions under which multi-Rx operation is supported or required in the specified frequency range,govern,"[""3.6.19""]",chunk-e830537219277645d8ba172efb7d11ba,../3GPP-trunked/Rel-19/38_series/38133-j00_cover.md3.6.19
Antenna Failure,antenna,2Rx RedCap UE,Concept,"2Rx RedCap UE is a type of Reduced Capability User Equipment designed for 2 receive antennas, operating under specific configuration rules for CSI-RS evaluation periods in FR1. It is subject to different evaluation time calculations based on DRX settings and supports measurement of CSI-RS for RLM without measurement gaps.",,,,,,chunk-2d3e34bd62fc8e8199a7940d41f00955,../3GPP-trunked/Rel-19/38_series/38133-j00_s8-8.md8.1.8
Antenna Failure,antenna,1Rx RedCap UE,Concept,"1Rx RedCap UE is a type of Reduced Capability User Equipment designed for 1 receive antenna, operating under specific configuration rules for CSI-RS evaluation periods in FR1. It is subject to different evaluation time calculations based on DRX settings and supports measurement of CSI-RS for RLM without measurement gaps.",,,,,,chunk-2d3e34bd62fc8e8199a7940d41f00955,../3GPP-trunked/Rel-19/38_series/38133-j00_s8-8.md8.1.8
Antenna Failure,antenna,out_SSB,Concept,"out_SSB is a parameter defined in Table 8.1D.2.2-1 for FR1, representing the evaluation period for SSB-based radio link monitoring when the SSB is not overlapping with measurement gaps. It is used in the context of FR1 ATG UEs with omni-directional antennas and is calculated based on P value and TSSB.",,,,,,chunk-3aa8c283d35d4124524acdf773fc70ff,../3GPP-trunked/Rel-19/38_series/38133-j00_s8-8.md8.1.8
Antenna Failure,antenna,FR1 ATG UE,Concept,"FR1 ATG UE refers to a user equipment operating in the FR1 frequency range for airborne terrestrial communication, which may have one or multiple omni-directional antennas or an antenna array, and is subject to specific measurement and evaluation period rules for SSB-based RLM<SEP>FR1 ATG UE refers to a User Equipment operating in the Frequency Range 1 for Air-to-Ground scenarios, which may have one or multiple omni-directional antennas or an antenna array, and is subject to specific P value and evaluation period rules.",,,,,,chunk-3aa8c283d35d4124524acdf773fc70ff<SEP>chunk-a9a591bcee7059caf9fa04a1b6a960c0,../3GPP-trunked/Rel-19/38_series/38133-j00_s8-8.md8.1.8
Antenna Failure,antenna,0 dBi gain antenna,Technology,"0 dBi gain antenna is a type of antenna with a gain of 0 decibels relative to an isotropic radiator, positioned at the center of the q.<SEP>0 dBi gain antenna is a reference antenna used to measure equivalent power at the center of the quiet zone, representing a baseline for signal reception.",,,,,,chunk-968eaa1137ad7e87fc08891a5e617391<SEP>chunk-8abe11928f00ecf08f33387670b82464,../3GPP-trunked/Rel-19/38_series/38133-j00_sA.17-A.18.md7680<SEP>../3GPP-trunked/Rel-19/38_series/38133-j00_sA.17-A.18.md3200
Antenna Failure,antenna,quiet zone,Concept,"Quiet zone is a region where the equivalent power received by an antenna with 0 dBi gain is measured, and it is the location where observations are made for test purposes.",,,,,,chunk-8abe11928f00ecf08f33387670b82464,../3GPP-trunked/Rel-19/38_series/38133-j00_sA.17-A.18.md3200
Antenna Failure,antenna,RF Repeater,Concept,"RF Repeater is a device used in wireless communication systems to amplify and retransmit radio signals. For repeater type 1-C, the requirements are applied at the repeater antenna connector, either BS-side or UE-side, for downlink or uplink signals under normal operating conditions.",REF,Clause 5.2.3.2.2 of 3GPP TS 29.5,Figure 4.2.1-1,Reference,,chunk-c454a097396af146ccda963ddd91796e,../3GPP-trunked/Rel-19/38_series/38115-1-j00.md4.2.1
Antenna Failure,antenna,RF Repeater,Concept,"RF Repeater is a device used in wireless communication systems to amplify and retransmit radio signals. For repeater type 1-C, the requirements are applied at the repeater antenna connector, either BS-side or UE-side, for downlink or uplink signals under normal operating conditions.",normal operating conditions,,RF Repeater includes repeater type 1-C as a specific configuration,Condition,,chunk-c454a097396af146ccda963ddd91796e,../3GPP-trunked/Rel-19/38_series/38115-1-j00.md4.2.1
Antenna Failure,antenna,RF Repeater,Concept,"RF Repeater is a device used in wireless communication systems to amplify and retransmit radio signals. For repeater type 1-C, the requirements are applied at the repeater antenna connector, either BS-side or UE-side, for downlink or uplink signals under normal operating conditions.",repeater type 1-C,Repeater type 1-C is a specific configuration of RF Repeater where requirements are applied at the repeater antenna connector (BS-side or UE-side) for downlink or uplink signals under normal operating conditions.<SEP>Repeater type 1-C is a repeater configuration for which requirements are applied at the repeater antenna connector (BS-side or UE-side connector) for downlink or uplink under normal operating conditions.,RF Repeater includes repeater type 1-C as a specific configuration,include,"[""normal operating conditions""]",chunk-c454a097396af146ccda963ddd91796e,../3GPP-trunked/Rel-19/38_series/38115-1-j00.md4.2.1
Antenna Failure,antenna,repeater type 1-C,Technology,Repeater type 1-C is a specific configuration of RF Repeater where requirements are applied at the repeater antenna connector (BS-side or UE-side) for downlink or uplink signals under normal operating conditions.<SEP>Repeater type 1-C is a repeater configuration for which requirements are applied at the repeater antenna connector (BS-side or UE-side connector) for downlink or uplink under normal operating conditions.,DEF,"The Support Team is responsible for the management of the work of the TSGs, including editorship and management of specifications under TSG change control, preparation and support for meetings (including meeting reports) of TSGs, their Working Groups, and subgroups, in descending priority, and liaison with other bodies and relevant groups and institutions.","For repeater type 1-C, the requirements are applied at the repeater antenna connector (BS-side connector or UE-side connector) for downlink or uplink for the configuration in normal operating conditions.",Definition,"[""normal operating conditions""]",chunk-c454a097396af146ccda963ddd91796e,../3GPP-trunked/Rel-19/38_series/38115-1-j00.md4.2.1
Antenna Failure,antenna,repeater type 1-C,Technology,Repeater type 1-C is a specific configuration of RF Repeater where requirements are applied at the repeater antenna connector (BS-side or UE-side) for downlink or uplink signals under normal operating conditions.<SEP>Repeater type 1-C is a repeater configuration for which requirements are applied at the repeater antenna connector (BS-side or UE-side connector) for downlink or uplink under normal operating conditions.,normal operating conditions,,RF Repeater includes repeater type 1-C as a specific configuration,Condition,,chunk-c454a097396af146ccda963ddd91796e,../3GPP-trunked/Rel-19/38_series/38115-1-j00.md4.2.1
Antenna Failure,antenna,repeater type 1-C,Technology,Repeater type 1-C is a specific configuration of RF Repeater where requirements are applied at the repeater antenna connector (BS-side or UE-side) for downlink or uplink signals under normal operating conditions.<SEP>Repeater type 1-C is a repeater configuration for which requirements are applied at the repeater antenna connector (BS-side or UE-side connector) for downlink or uplink under normal operating conditions.,normal operating conditions,,RF Repeater includes repeater type 1-C as a specific configuration<SEP>Requirements for repeater type 1-C are applied at the repeater antenna connector for downlink or uplink under normal operating conditions,Condition,,chunk-d18326f6448eede6a7e5b62bece2a11f<SEP>chunk-c454a097396af146ccda963ddd91796e,../3GPP-trunked/Rel-19/38_series/38115-1-j00.md4.2.1<SEP>../3GPP-trunked/Rel-19/38_series/38115-1-j00.md4.5.1
Antenna Failure,antenna,repeater type 1-C,Technology,Repeater type 1-C is a specific configuration of RF Repeater where requirements are applied at the repeater antenna connector (BS-side or UE-side) for downlink or uplink signals under normal operating conditions.<SEP>Repeater type 1-C is a repeater configuration for which requirements are applied at the repeater antenna connector (BS-side or UE-side connector) for downlink or uplink under normal operating conditions.,BS-side connector,,Requirements for repeater type 1-C are applied at the BS-side connector for downlink or uplink signals,apply,"[""normal operating conditions""]",chunk-c454a097396af146ccda963ddd91796e,../3GPP-trunked/Rel-19/38_series/38115-1-j00.md4.2.1
Antenna Failure,antenna,repeater type 1-C,Technology,Repeater type 1-C is a specific configuration of RF Repeater where requirements are applied at the repeater antenna connector (BS-side or UE-side) for downlink or uplink signals under normal operating conditions.<SEP>Repeater type 1-C is a repeater configuration for which requirements are applied at the repeater antenna connector (BS-side or UE-side connector) for downlink or uplink under normal operating conditions.,RF Repeater,"RF Repeater is a device used in wireless communication systems to amplify and retransmit radio signals. For repeater type 1-C, the requirements are applied at the repeater antenna connector, either BS-side or UE-side, for downlink or uplink signals under normal operating conditions.",RF Repeater includes repeater type 1-C as a specific configuration,include,"[""normal operating conditions""]",chunk-c454a097396af146ccda963ddd91796e,../3GPP-trunked/Rel-19/38_series/38115-1-j00.md4.2.1
Antenna Failure,antenna,repeater type 1-C,Technology,Repeater type 1-C is a specific configuration of RF Repeater where requirements are applied at the repeater antenna connector (BS-side or UE-side) for downlink or uplink signals under normal operating conditions.<SEP>Repeater type 1-C is a repeater configuration for which requirements are applied at the repeater antenna connector (BS-side or UE-side connector) for downlink or uplink under normal operating conditions.,repeater antenna connector,,Requirements for repeater type 1-C are applied at the repeater antenna connector for downlink or uplink under normal operating conditions,apply,"[""normal operating conditions""]",chunk-d18326f6448eede6a7e5b62bece2a11f,../3GPP-trunked/Rel-19/38_series/38115-1-j00.md4.5.1
Antenna Failure,antenna; antenna characteristics,Maximum output power,Concept,"Maximum output power refers to the highest base station output power per sector, expressed as e.i.r.p. (effective isotropic radiated power), and was provided in the antenna parameter table of the LS [4], aligned with antenna characteristics. It is specified for different deployment scenarios including Rural, Macro suburban, Macro urban, Small cell outdoor/Micro urban, and Small cell indoor/Indoor urban, with values of 72.2 dBm for the first three and 61.5 dBm for Small cell outdoor/Micro urban, while N/A is indicated for Small cell indoor/Indoor urban.",DEF,"The Support Team is responsible for the management of the work of the TSGs, including editorship and management of specifications under TSG change control, preparation and support for meetings (including meeting reports) of TSGs, their Working Groups, and subgroups, in descending priority, and liaison with other bodies and relevant groups and institutions.","The maximum base station output power per sector (e.i.r.p.) was provided in the antenna parameter table of the LS [4], as extracted in Table 4.",Definition,,chunk-487fd0e2a8fe1e740bf0a9b5145b1391,../3GPP-trunked/Rel-19/38_series/38922-j00.md4.2.1.5
Antenna Failure,antenna; antenna characteristics,Maximum output power,Concept,"Maximum output power refers to the highest base station output power per sector, expressed as e.i.r.p. (effective isotropic radiated power), and was provided in the antenna parameter table of the LS [4], aligned with antenna characteristics. It is specified for different deployment scenarios including Rural, Macro suburban, Macro urban, Small cell outdoor/Micro urban, and Small cell indoor/Indoor urban, with values of 72.2 dBm for the first three and 61.5 dBm for Small cell outdoor/Micro urban, while N/A is indicated for Small cell indoor/Indoor urban.",REF,Clause 5.2.3.2.2 of 3GPP TS 29.5,Table 4.2.1.5-1,Reference,,chunk-487fd0e2a8fe1e740bf0a9b5145b1391,../3GPP-trunked/Rel-19/38_series/38922-j00.md4.2.1.5
Antenna Failure,antenna,antenna parameter table,Terminology,,,,,,,chunk-487fd0e2a8fe1e740bf0a9b5145b1391,../3GPP-trunked/Rel-19/38_series/38922-j00.md4.2.1.5
Antenna Failure,antenna,repeater antenna connector,Terminology,,normal operating conditions,,Requirements for repeater type 1-C are applied at the repeater antenna connector for downlink or uplink under normal operating conditions,Condition,,chunk-d18326f6448eede6a7e5b62bece2a11f,../3GPP-trunked/Rel-19/38_series/38115-1-j00.md4.5.1
Antenna Failure,antenna,repeater antenna connector,Terminology,,NCR type 1-C,"NCR type 1-C is a network-controlled repeater configuration where NCR-Fwd RF requirements are applied at the NCR antenna connector (BS-side or UE-side) for downlink or uplink, and NCR-MT RF requirements are applied at the NCR antenna connector (BS-side) under normal operating conditions.",Requirements for NCR type 1-C are applied at the repeater antenna connector for downlink or uplink under normal operating conditions,apply,"[""normal operating conditions""]",chunk-d18326f6448eede6a7e5b62bece2a11f,../3GPP-trunked/Rel-19/38_series/38115-1-j00.md4.5.1
Antenna Failure,antenna,repeater antenna connector,Terminology,,repeater type 1-C,Repeater type 1-C is a specific configuration of RF Repeater where requirements are applied at the repeater antenna connector (BS-side or UE-side) for downlink or uplink signals under normal operating conditions.<SEP>Repeater type 1-C is a repeater configuration for which requirements are applied at the repeater antenna connector (BS-side or UE-side connector) for downlink or uplink under normal operating conditions.,Requirements for repeater type 1-C are applied at the repeater antenna connector for downlink or uplink under normal operating conditions,apply,"[""normal operating conditions""]",chunk-d18326f6448eede6a7e5b62bece2a11f,../3GPP-trunked/Rel-19/38_series/38115-1-j00.md4.5.1
Antenna Failure,antenna,Transmission with multiple BS-side antenna connectors for RF repeater and NCR type 1-C,Concept,"Transmission with multiple BS-side antenna connectors for RF repeater and NCR type 1-C is a test requirement defined in section 4.5.2 of the present document. It applies to each BS-side antenna connector when multiple connectors are used. Testing is performed at the antenna connector with other connectors terminated. If the manufacturer declares the connectors to be equivalent (as per D.13), measurement at any one connector is sufficient.",DEF,"The Support Team is responsible for the management of the work of the TSGs, including editorship and management of specifications under TSG change control, preparation and support for meetings (including meeting reports) of TSGs, their Working Groups, and subgroups, in descending priority, and liaison with other bodies and relevant groups and institutions.","The requirement applies for each BS-side antenna connector when transmission involves multiple BS-side antenna connectors. Testing is performed at the antenna connector with remaining connectors terminated. If the manufacturer declares the connectors to be equivalent (D.13), measurement at any one connector is sufficient.",Definition,,chunk-95f0ba669530c44fb7e1d1560bc4896f,../3GPP-trunked/Rel-19/38_series/38115-1-j00.md4.5.2
